Gene,Locus Tag,Protein
ycgQ,STM1800,putative resistance protein MccF
ycgO,STM1801,putative CPA1 family Na:H transport protein
dadX,STM1802,alanine racemase 2
dadA,STM1803,D-amino acid dehydrogenase subunit
ycgB,STM1804,putative cytoplasmic protein
fadR,STM1805,negative regulator of fad regulon
nhaB,STM1806,NhaB family of transport protein
dsbB,STM1807,putative disulfide oxidoreductase
,STM1808,putative cytoplasmic protein
,STM1809,putative cytoplasmic protein
,STM1810,putative cytoplasmic protein
ycgN,STM1811,putative cytoplasmic protein
ycgM,STM1812,putative fumarylacetoacetate (FAA) hydrolase family protein
ycgL,STM1813,putative cytoplasmic protein
minC,STM1814,cell division inhibitor
minD,STM1815,cell division inhibitor
minE,STM1816,cell division topological specificity factor
rnd,STM1817,RNase D
fadD,STM1818,acyl-CoA synthetase
slp,STM1819,putative outer membrane protein
yeaZ,STM1820,putative molecular chaperone
yoaA,STM1821,putative DNA helicase
yoaB,STM1822,putative translation initiation inhibitor
yoaH,STM1823,putative cytoplasmic protein
pabB,STM1824,"p-aminobenzoate synthetase, component I"
yeaB,STM1825,putative NTP pyrophosphohydrolase
sdaA,STM1826,L-serine deaminase I/L-threonine deaminase I
,STM1827,putative diguanylate cyclase/phosphodiesterase
yoaE,STM1828,putative inner membrane protein
,STM1829,putative cytoplasmic protein
manX,STM1830,mannose-specific enzyme IIAB
manY,STM1831,mannose-specific enzyme IIC
manZ,STM1832,mannose-specific enzyme IID
,STM1833,putative inner membrane protein
yebN,STM1834,putative YebN family transport protein
rrmA,STM1835,23S rRNA m1G745 methyltransferase
,STM1836,putative penicillin-binding protein-3
cspC,STM1837,cold shock protein
yobF,STM1838,putative cytoplasmic protein
,STM1839,putative periplasmic or exported protein
yobG,STM1840,putative inner membrane protein
,STM1841,putative outer membrane or exported
kdgR,STM1842,putative IclR family transcriptional repressor
,STM1843,putative transport protein
htpX,STM1844,heat shock protein
prc,STM1845,carboxy-terminal protease for penicillin-binding protein 3
proQ,STM1846,activator of proP
yebR,STM1847,putative GAF domain-containing protein
yebS,STM1848,putative inner membrane protein
,STM1849,putative inner membrane protein
yebU,STM1850,putative rRNA methyltransferase
,STM1851,putative cytoplasmic protein
yebW,STM1852,putative inner membrane lipoprotein
prpA,STM1853,serine/threonine protein phosphatase
,STM1854,putative inner membrane protein
sopE2,STM1855,TypeIII-secreted protein effector: invasion-associated protein
,STM1856,putative cytoplasmic protein
,STM1857,putative acetyltransferase
,STM1858,putative cytoplasmic protein
,STM1859,putative cytoplasmic protein
,STM1860,putative transposase
,STM1861,putative cytoplasmic protein
pagO,STM1862,PhoPQ-activated protein
,STM1863,putative inner membrane protein
,STM1864,putative inner membrane protein
,STM1865,putative cytoplasmic protein
pagK,STM1867,PhoPQ-activated protein
mig-3,STM1868,phage-tail assembly protein-like protein
,STM1868A,lytic enzyme
,STM1869,phage-tail assembly protein-like protein
,STM1869A,hypothetical protein
,STM1870,recE-like protein
,STM1871,putative phage integrase protein
,STM1872,putative cytoplasmic protein
,STM1873,putative periplasmic or exported protein
,STM1874,putative inner membrane protein
yobA,STM1875,similar Cu resistance protein CopC
holE,STM1876,"DNA polymerase III, theta subunit"
,STM1877,putative amidohydrolase
exoX,STM1878,DNA exonuclease X
ptrB,STM1879,protease II
yebE,STM1880,putative inner membrane protein
yebF,STM1881,putative periplasmic protein
yebG,STM1882,"DNA damage-inducible gene in SOS regulon, dependent on cyclic AMP and H-NS"
purT,STM1883,phosphoribosylglycinamide formyltransferase 2
eda,STM1884,2-keto-3-deoxygluconate 6-phosphate aldolase
edd,STM1885,6-phosphogluconate dehydratase
zwf,STM1886,glucose-6-phosphate dehydrogenase
yebK,STM1887,putative transcriptional regulator
pykA,STM1888,pyruvate kinase II
msbB,STM1889,myristoyl transferase in lipid A biosynthesis
yebA,STM1890,putative peptidase
znuA,STM1891,ABC superfamily high affinity Zn transport protein
znuC,STM1892,ABC superfamily high affinity Zn transport protein
znuB,STM1893,ABC superfamily high affinity Zn transport protein
ruvB,STM1894,"Holliday junction helicase, subunit B"
ruvA,STM1895,Holliday junction helicase subunit A
,STM1896,putative cytoplasmic protein
yebB,STM1897,putative periplasmic protein
ruvC,STM1898,Holliday junction nuclease
yebC,STM1899,putative cytoplasmic protein
ntpA,STM1900,dATP pyrophosphohydrolase
aspS,STM1901,aspartate tRNA synthetase
yecD,STM1902,putative isochorismatase
yecE,STM1903,putative cytoplasmic protein
yecN,STM1904,putative inner membrane protein
yecO,STM1905,putative SAM-dependent methyltransferase
yecP,STM1906,putative enzyme
cutC,STM1907,copper homeostasis protein
yecM,STM1908,putative cytoplasmic protein
argS,STM1909,arginine tRNA synthetase
,STM1910,putative penicillin-binding protein
,STM1911,putative cytoplasmic protein
flhE,STM1912,flagellar protein
flhA,STM1913,flagellar biosynthesis protein
flhB,STM1914,putative part of export apparatus for flagellar proteins
cheZ,STM1915,chemotactic response protein
cheY,STM1916,chemotaxis regulator protein
cheB,STM1917,methyl esterase
cheR,STM1918,glutamate methyltransferase
cheM,STM1919,methyl accepting chemotaxis protein II
cheW,STM1920,purine-binding chemotaxis protein
cheA,STM1921,sensory histitine protein kinase
motB,STM1922,enables flagellar motor rotation
motA,STM1923,proton conductor component of motor
flhC,STM1924,regulator of flagellar biosynthesis
flhD,STM1925,regulator of flagellar biosynthesis
,STM1926,putative cytoplasmic protein
yecG,STM1927,putative universal stress protein
otsA,STM1928,trehalose-6-phosphate synthase
otsB,STM1929,"trehalose-6-phosphate phophatase, biosynthetic"
araH,STM1931,putative intracellular protease/amidase
ftnB,STM1932,ferritin-like protein
,STM1933,putative ribose 5-phosphate isomerase
,STM1934,putative outer membrane lipoprotein
ftn,STM1935,cytoplasmic ferritin
yecH,STM1936,putative cytoplasmic protein
tyrP,STM1937,HAAAP family tyrosine-specific transport protein
yecA,STM1938,putative metal-binding protein
,STM1939,putative glucose-6-phosphate dehydrogenase
,STM1940,putative cell wall-associated hydrolase
,STM1941,putative inner membrane protein
pgsA,STM1945,phosphatidylglycerophosphate synthetase
uvrC,STM1946,UvrC
uvrY,STM1947,putative LuxR/UhpA family response regulator
,STM1948,putative inner membrane protein
yecF,STM1949,putative cytoplasmic protein
sdiA,STM1950,transcriptional regulator of ftsQAZ gene cluster
yecC,STM1951,putative ABC-type polar amino acid transport system
yecS,STM1952,putative ABC-type amino acid transporter
yedO,STM1953,putative 1-cyclopropane-carboxylate deaminase
fliY,STM1954,putative periplasmic binding transport protein
fliZ,STM1955,putative regulator of FliA
fliA,STM1956,sigma F (sigma 28) factor of RNA polymerase
tnpA_2,STM1957,transposase for IS200
fliB,STM1958,N-methylation of lysine residues in flagellin
fliC,STM1959,flagellar biosynthesis; flagellin
fliD,STM1960,filament capping protein
fliS,STM1961,repressor of class 3a and 3b operons (RflA activity)
fliT,STM1962,putative export chaperone for FliD
amyA,STM1963,cytoplasmic alpha-amylase
yedD,STM1964,putative outer membrane lipoprotein
yedE,STM1965,putative membrane component of transport system
yedF,STM1966,putative transcriptional regulator
,STM1967,putative 50S ribosomal protein
fliE,STM1968,putative flagellar hook-basal body protein
fliF,STM1969,basal-body MS (membrane and supramembrane)-ring and collar protein
fliG,STM1970,flagellar biosynthesis protein
fliH,STM1971,flagellar biosynthesis protein
fliI,STM1972,flagellum-specific ATP synthase
fliJ,STM1973,flagellar FliJ protein
fliK,STM1974,flagellar hook-length control protein
fliL,STM1975,flagellar biosynthesis
fliM,STM1976,flagellar biosynthesis protein
fliN,STM1977,flagellar biosynthesis protein
fliO,STM1978,flagellar biosynthesis protein
fliP,STM1979,flagellar biosynthesis protein
fliQ,STM1980,flagellar biosynthesis protein
fliR,STM1981,putative flagellar biosynthetic protein
rcsA,STM1982,positive transcriptional regulator of capsular/exo- polysaccharide synthesis (LuxR/UhpA family)
yodD,STM1984,putative cytoplasmic protein
yedP,STM1986,putative hydrolase of the HAD superfamily
,STM1987,putative inner membrane protein
,STM1988,putative cytoplasmic protein
yedI,STM1989,putative inner membrane protein
yedA,STM1990,putative permease
vsr,STM1991,DNA mismatch endonuclease
dcm,STM1992,DNA cytosine methylase
yedJ,STM1993,putative hydrolase
,STM1994,putative inner membrane protein
ompS,STM1995,putative porin
cspB,STM1996,putative cold-shock protein
umuC,STM1997,error-prone repair protein
umuD,STM1998,error-prone repair: SOS-response transcriptional repressor
,STM1999,putative cytoplasmic protein
yeeI,STM2001,putative inner membrane protein
,STM2005,putative endoprotease
,STM2006,putative branched chain amino acid transport protein
,STM2007,putative TPR repeat protein
,STM2008,putative periplasmic protein
amn,STM2009,AMP nucleosidase
,STM2010,putative cytoplasmic protein
,STM2011,putative cytoplasmic protein
yeeO,STM2013,putative MATE family transport protein
erfK,STM2015,putative periplasmic protein
cobT,STM2016,nicotinate-nucleotide dimethylbenzimidazole-P phosphoribosyl transferase
cobS,STM2017,cobalamin 5'-phosphate synthase
cobU,STM2018,cobinamide kinase
cbiP,STM2019,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiO,STM2020,synthesis of vitamin B12 adenosyl cobalamide precursor
cboQ,STM2021,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiN,STM2022,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiM,STM2023,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiL,STM2024,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiK,STM2025,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiJ,STM2026,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiH,STM2027,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiG,STM2028,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiF,STM2029,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiT,STM2030,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiE,STM2031,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiD,STM2032,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiC,STM2033,synthesis of vitamin B12 adenosyl cobalamide precursor
cibB,STM2034,synthesis of vitamin B12 adenosyl cobalamide precursor
cbiA,STM2035,synthesis of vitamin B12 adenosyl cobalamide precursor
pocR,STM2036,propanediol utilization protein
pduF,STM2037,propanediol utilization protein
pduA,STM2038,propanediol utilization protein
pudB,STM2039,propanediol utilization protein
pduC,STM2040,"propanediol utilization dehydratase, large subunit"
pduD,STM2041,"propanediol utilization dehydratase, medium subunit"
pduE,STM2042,"propanediol utilization dehydratase, small subunit"
pduG,STM2043,propanediol utilization diol dehydratase reactivation protein
pduH,STM2044,propanediol utilization diol dehydratase reactivation protein
pduJ,STM2045,propanediol utilization protein
pduK,STM2046,propanediol utilization protein
pduL,STM2047,propanediol utilization protein
pduM,STM2048,propanediol utilization protein
pduN,STM2049,propanediol utilization protein
pduO,STM2050,propanediol utilization B12 related protein
pduP,STM2051,propanediol utilization CoA-dependent propionaldehyde dehydrogenase
pduQ,STM2052,propanediol utilization propanol dehydrogenase
pduS,STM2053,propanediol utilization protein
pduT,STM2054,propanediol utilization protein
pduU,STM2055,propanediol utilization protein
pduV,STM2056,propanediol utilization protein
pduW,STM2057,propanediol utilization propionate kinase
pduX,STM2058,propanediol utilization protein
yeeX,STM2059,putative cytoplasmic protein
yeeA,STM2060,putative inner membrane protein
sbmC,STM2061,DNA gyrase inhibitor
dacD,STM2062,DD-carboxypeptidase
phsC,STM2063,hydrogen sulfide production membrane anchoring protein
phsB,STM2064,hydrogen sulfide production iron-sulfur subunit
phsA,STM2065,hydrogen sulfide production membrane anchoring protein
sopA,STM2066,secreted effector protein of Salmonella
sbcB,STM2067,exonuclease I
yeeF,STM2068,putative APC family amino acid transport protein
yeeY,STM2069,putative LysR family transcriptional regulator
yeeZ,STM2070,putative dehydratase
hisG,STM2071,ATP phosphoribosyltransferase
hisD,STM2072,histidinal dehydrogenase
hisC,STM2073,histidinol phosphate aminotransferase
hisB,STM2074,imidazole glycerol-phosphate dehydratase
hisH,STM2075,glutamine amidotransferase
hisA,STM2076,N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase
hisF,STM2077,imidazole glycerol phosphate synthase
hisI,STM2078,phosphoribosyl-AMP cyclohydrolase
wzzB,STM2079,regulator of length of O-antigen component of lipopolysaccharide chains
udg,STM2080,UDP-glucose/GDP-mannose dehydrogenase
gnd,STM2081,gluconate-6-phosphate dehydrogenase
rfbP,STM2082,"undecaprenol-phosphate galactosephosphotransferase, and"
rfbK,STM2083,phosphomannomutase
rfbM,STM2084,mannose-1-phosphate guanylyltransferase
rfbN,STM2085,rhamnosyl transferase
rfbU,STM2086,mannosyl transferase
rfbV,STM2087,abequosyltransferase
rfbX,STM2088,putative O-antigen transferase
rfbJ,STM2089,CDP-abequose synthase
rfbH,STM2090,CDP-6deoxy-D-xylo-4-hexulose-3-dehydrase
rfbG,STM2091,"CDP-glucose 4,6-dehydratase"
rfbF,STM2092,glucose-1-phosphate cytidylyltransferase
rfbI,STM2093,"CDP-6-deoxy-delta3,4-glucoseen reductase"
rfbC,STM2094,"dTDP-4,deoxyrhamnose 3,5 epimerase"
rfbA,STM2095,dTDP-glucose pyrophosphorylase
rfbD,STM2096,TDP-rhamnose synthetase
rfbB,STM2097,"dTDP-glucose 4,6 dehydratase"
galF,STM2098,"putative glucose-1-phosphate uridylyltransferase, non-catalytic subunit"
wcaM,STM2099,putative colanic acid biosynthesis protein
wcaL,STM2100,putative glycosyl transferase
wcaK,STM2101,putative galactokinase
wzxC,STM2102,putative export protein
wcaJ,STM2103,putative UDP-glucose lipid carrier transferase
cpsG,STM2104,phosphomannomutase
manC,STM2105,mannose-1-phosphate
wcaI,STM2106,putative glycosyl transferase
wcaH,STM2107,GDP-mannose mannosyl hydrolase
wcaG,STM2108,bifunctional GDP fucose synthetase
gmd,STM2109,GDP-D-mannose dehydratase
wcaF,STM2110,putative acyltransferase
wcaE,STM2111,putative transferase
wcaD,STM2112,putative colanic acid polymerase
wcaC,STM2113,putative glycosyl transferase
wcaB,STM2114,putative acyl transferase
wcaA,STM2115,putative glycosyl transferase
wzc,STM2116,putative tyrosine-protein kinase
wzb,STM2117,putative protein-tyrosine-phosphatase
